id,title,genres,overview,release_date,vote_average,vote_count,title_normalized
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,"['Animation', 'Action', 'Fantasy', 'Thriller']","The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",2025-07-18,7.648,273,demon slayer: kimetsu no yaiba infinity castle
755898,War of the Worlds,"['Science Fiction', 'Thriller']","Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",2025-07-29,4.338,543,war of the worlds
1078605,Weapons,"['Horror', 'Mystery']","When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",2025-08-04,7.389,1405,weapons
1038392,The Conjuring: Last Rites,['Horror'],Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,2025-09-03,6.618,359,the conjuring: last rites
1007734,Nobody 2,"['Action', 'Thriller']","Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.",2025-08-13,7.284,560,nobody 2
1061474,Superman,"['Science Fiction', 'Adventure', 'Action']","Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",2025-07-09,7.508,3165,superman
506763,Detective Dee: The Four Heavenly Kings,"['Action', 'Fantasy', 'Adventure', 'Mystery']","Dee, the detective serving Chinese empress Wu Zetian, is called upon to investigate a series of strange events in Loyang, including the appearance of mysterious warriors wearing Chiyou ghost masks, foxes that speak human language and the pillar sculptures in the palace coming alive.",2018-07-27,6.226,199,detective dee: the four heavenly kings
1035259,The Naked Gun,"['Comedy', 'Action', 'Crime']",Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr.,2025-07-30,6.69,683,the naked gun
1028248,As Good as Dead,"['Action', 'Crime']",An ex-cop in self-imposed witness protection in Mexico becomes a target when a fight video of his apprentice goes viral.,2022-12-16,6.362,65,as good as dead
1369679,Get Fast,"['Action', 'Crime', 'Thriller']","When The Thief’s partner is kidnapped after stealing millions in cash from a merciless drug lord named Nushi, he reluctantly teams up with an angst-ridden orphan to rescue him. Nushi enlists her most trusted hitman, The Cowboy, a lovable charmer who’s quick with his guns, to track down the Thief. Guns, cars, and explosions will give the newfound partners a head start, but how long will they be able to keep it up?",2024-12-12,6.19,21,get fast
911430,F1,"['Action', 'Drama']",Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,2025-06-25,7.83,2098,f1
914215,Humane,"['Horror', 'Science Fiction', 'Thriller']","In the wake of an environmental collapse that has forced humanity to shed 20% of its population, a family dinner erupts into chaos when a father's plan to enlist in the government's new euthanasia program goes horribly awry.",2024-04-26,5.398,161,humane
1234821,Jurassic World Rebirth,"['Science Fiction', 'Adventure', 'Action']","Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",2025-07-01,6.397,2112,jurassic world rebirth
1051486,Stockholm Bloodbath,"['Action', 'History', 'Drama', 'Adventure', 'War']","In 1520, the notorious and power-hungry Danish King Christian II is determined to seize the Swedish crown from Sten Sture, no matter what it takes. Meanwhile, sisters Freja and Anne make a solemn promise to seek revenge on the men who brutally murdered their family. Everything comes to a head in the heart of Stockholm, where the sisters are drawn into a ruthless political struggle between Sweden and Denmark that culminates in a mass execution, presided over by the mad King ""Christian the Tyrant,"" known as the Stockholm Bloodbath.",2024-01-19,6.2,32,stockholm bloodbath
575265,Mission: Impossible - The Final Reckoning,"['Action', 'Adventure', 'Thriller']","Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",2025-05-17,7.285,1729,mission: impossible - the final reckoning
691363,The Thing Behind The Door,['Horror'],"The story of Adèle, a youg woman who’s literally haunted by the death of her husband, killed in a trench during World War One. Desperate and unable to face this tragic loss, Adèle turns to black magic in the hope to bring her lover back. The miracle will happen, but Adèle will have to pay the price for opening this Pandora Box.",2023-01-16,5.524,21,the thing behind the door
803796,KPop Demon Hunters,"['Animation', 'Comedy', 'Fantasy', 'Music']","When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",2025-06-20,8.318,1425,kpop demon hunters
1087192,How to Train Your Dragon,"['Fantasy', 'Family', 'Action', 'Adventure']","On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",2025-06-06,8.033,1914,how to train your dragon
1242011,Together,['Horror'],"With a move to the countryside already testing the limits of a couple's relationship, a supernatural encounter begins an extreme transformation of their love, their lives, and their flesh.",2025-07-28,7.114,431,together
1119878,Ice Road: Vengeance,"['Action', 'Thriller', 'Drama']","Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.",2025-06-27,6.483,378,ice road: vengeance
7451,xXx,"['Action', 'Adventure', 'Thriller', 'Crime']","Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",2002-08-09,5.961,4546,xxx
1175942,The Bad Guys 2,"['Animation', 'Family', 'Comedy', 'Crime', 'Adventure']","The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",2025-07-24,7.8,374,the bad guys 2
1321439,The Wrong Paris,"['Romance', 'Comedy']","Dawn thinks she's joining a dating show in Paris, France, only to land in Paris, Texas. She has an exit plan — until sparks fly with the cowboy bachelor.",2025-09-11,6.702,94,the wrong paris
617126,The Fantastic 4: First Steps,"['Science Fiction', 'Adventure']","Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",2025-07-23,7.181,1230,the fantastic 4: first steps
1151334,Eenie Meanie,"['Thriller', 'Action', 'Comedy']",A former teenage getaway driver gets dragged back into her unsavory past when a former employer offers her a chance to save the life of her chronically unreliable ex-boyfriend.,2025-08-21,6.385,191,eenie meanie
13494,Red Sonja,"['Adventure', 'Action', 'Fantasy']",A young girl rises from the ashes of tragedy to become the most feared warrior woman of all time: the She-Devil with a Sword.,2025-07-31,5.7,90,red sonja
1188808,Tuhog,"['Drama', 'Romance']","Abie mourns after the death of Michael. She finds solace from her supposedly soon-to-be father-in-law, Roldan, and starts falling for him. But when Michael returns, their world turns upside down.",2023-11-03,5.583,12,tuhog
1382406,Striking Rescue,"['Action', 'Crime', 'Thriller']",A veteran Muay Thai expert goes on a take-no-prisoners mission of revenge after his wife and daughter are brutally murdered by mysterious forces.,2024-12-05,7.6,116,striking rescue
552524,Lilo & Stitch,"['Family', 'Science Fiction', 'Comedy', 'Adventure']",The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,2025-05-17,7.3,1606,lilo & stitch
604079,The Long Walk,"['Horror', 'Thriller', 'Science Fiction']","In a dystopian, alternate-America ruled by a totalitarian regime, 50 teenage boys take part in a deadly annual walking contest, forced to maintain a minimum pace or be executed, until only one survivor remains.",2025-09-10,7.2,94,the long walk
